incident_id,date,time,operator_name,machine_id,severity,operator_badge,comment,shift
INC-000192,2025-11-08,08:15,Nathan Richard,M-06,1,OP1006,vibration,matin
INC-000025,2025-04-12,13:20,Emma Dubois,M-10,1,OP1003,,matin
INC-000123,2025-07-24,15:05,Jules Moreau,M-06,2,OP1010,bruit anormal,apres-midi
INC-000165,2025-09-25,14:00,Lina Petit,M-12,1,OP1007,alarme capteur,apres-midi
INC-000251,2026-01-05,16:10,Enzo Durand,M-3,1,OP1008,arrêt d'urgence,apres-midi
INC-000227,2025-12-09,12:20,Nathan Richard,M-07,2,OP1006,,matin
INC-000062,2025-05-20,14:10,Enzo Durand,M-01,1,OP1008,alarme capteur,apres-midi
INC-000037,2025-04-19,04:10,Sarah Leroy,M-14,1,OP1009,arrêt d'urgence,nuit
INC-000115,2025-07-21,16:00,Lina Petit,M-13,2,OP1007,vibration,apres-midi
INC-000241,2025-12-24,14:00,Enzo Durand,M-03,2,OP1008,vibration,apres-midi
INC-000053,2025-05-10,09:05,Hugo Thomas,M-10,1,OP1004,vibration,matin
INC-000031,2025-04-14,15:15,Lucas Bernard,M-03,1,OP1002,alarme capteur,apres-midi
INC-000160,2025-09-15,14:05,Chloé Robert,M-11,2,OP1005,,apres-midi
INC-000191,2025-11-03,11:05,Emma Dubois,M-08,1,OP1003,piece bloquée,matin
INC-000273,2026-02-09,18:15,Jules Moreau,M-07,1,OP1010,,apres-midi
INC-000233,2025-12-18,19:00,Jules Moreau,M-07,3,OP1010,chauffe,apres-midi
INC-000265,2026-01-21,10:45,Hugo Thomas,M-10,1,OP1004,surconsommation,matin
INC-000032,2025-04-14,13:20,Enzo Durand,M-04,2,OP1008,défaut qualité,matin
INC-000171,2025-10-04,18:30,Lucas Bernard,M-02,1,OP1002,,apres-midi
INC-000021,2025-04-03,09:10,Jules Moreau,M-10,1,OP1010,chauffe,matin
INC-000216,2025-11-30,09:30,Enzo Durand,M-01,1,OP1008,piece bloquée,matin
INC-000043,2025-04-29,13:15,Jules Moreau,M-08,3,OP1010,,matin
INC-000149,2025-08-30,16:00,Emma Dubois,M-07,1,OP1003,,apres-midi
INC-000030,2025-04-14,10:45,Sarah Leroy,M-14,1,OP1009,chauffe,matin
INC-000054,2025-05-11,13:05,Nathan Richard,M-06,1,OP1006,chauffe,matin
INC-000201,2025-11-17,18:00,Nathan Richard,M-06,3,OP1006,,apres-midi
INC-000020,2025-03-31,11:00,Enzo Durand,M-03,1,OP1008,bruit anormal,matin
INC-000172,2025-10-05,14:20,Lina Petit,M-12,1,OP1007,,apres-midi
INC-000272,2026-02-02,15:30,Lina Petit,M-13,2,OP1007,alarme capteur,apres-midi
INC-000205,2025-11-23,12:15,Camille Martin,M-04,1,OP1001,défaut qualité,matin
INC-000213,2025-11-26,15:20,Chloé Robert,M-11,1,OP1005,piece bloquée,apres-midi
INC-000170,2025-10-03,18:15,Chloé Robert,M-14,2,OP1005,arrêt d'urgence,apres-midi
INC-000083,2025-06-16,12:05,Lucas Bernard,M-05,2,OP1002,surconsommation,matin
INC-000086,2025-06-20,18:05,Sarah Leroy,M-13,1,OP1009,défaut qualité,apres-midi
INC-000091,2025-06-29,13:15,Jules Moreau,M-09,1,OP1010,,matin
INC-000080,2025-06-15,14:10,Lucas Bernard,M-03,1,OP1002,,apres-midi
INC-000072,2025-05-31,06:20,Camille Martin,M-03,5,OP1001,micro-fuite,matin
INC-000006,2025-03-09,23:45,Emma Dubois,M-10,2,OP1003,défaut qualité,nuit
INC-000208,2025-11-25,10:45,Hugo Thomas,M-08,1,OP1004,défaut qualité,matin
INC-000268,2026-01-27,14:00,Hugo Thomas,M-09,1,OP1004,alarme capteur,apres-midi
INC-000256,2026-01-09,03:10,Enzo Durand,M-04,2,OP1008,défaut qualité,nuit
INC-000261,2026-01-18,12:10,Hugo Thomas,M-06,1,OP1004,,matin
INC-000113,2025-07-19,14:45,Lina Petit,M-12,3,OP1007,bruit anormal,apres-midi
INC-000073,2025-06-01,23:10,Camille Martin,M-02,1,OP1001,micro-fuite,nuit
INC-000186,2025-10-30,22:00,Hugo Thomas,M-10,1,OP1004,,nuit
